model,hr20,mrr20,coverage20
Co-occurrence,0.30084948812894796,0.10806988680129645,0.9667128987517337
Popularity,0.010128512306686996,0.002292068836483201,0.0008668515950069349
SR-GNN,0.5416249183184492,0.18315839816184917,0.9355062413314841
